DATABANK Field list,Field Definitions
Hospital Name,Hospital name
AHA ID,American Hospital Association Identification Number
Short Name,OHA created abbreviated name
Type,"OHA designation of hospital type. DRG, Type A, Type B."
Critical Access,OHA created indicator if Hospital is designated as a critical access hospital
Month,reporting month. 1=Jan 12=Dec.
Year,reporting year
Beds Available,"Number of beds in service and patient ready for more than half the days in the reporting period. Includes swing beds. Excludes emergency department beds, clinic beds, birthing rooms, surgery and recovery rooms and outpatient holding beds."
Beds Licensed,Total number of beds licensed by the State.
Medicare Acute Discharges,"Number of inpatient discharges for all operations comprehended under the general acute care hospital license for Medicare payers. Excludes swing bed, distinct part unit (DPU) discharges. Excludes newborns unless newborn is discharged at a later date than the mother."
Medicaid Acute Discharges,"Number of inpatient discharges for all operations comprehended under the general acute care hospital license for Medicaid payers. Excludes swing bed, distinct part unit (DPU) discharges. Excludes newborns unless newborn is discharged at a later date than the mother."
Self-Pay Acute Discharges,"Number of inpatient discharges for all operations comprehended under the general acute care hospital license for Self-pay payers. Excludes swing bed, distinct part unit (DPU) discharges. Excludes newborns unless newborn is discharged at a later date than the mother."
Option One Acute Discharges,place holder for other payer categories to be used at state's discretion.
Option Two Acute Discharges,place holder for other payer categories to be used at state's discretion.
Option Three Acute Discharges,place holder for other payer categories to be used at state's discretion.
Others Acute Discharges,"Number of inpatient discharges for all operations comprehended under the general acute care hospital license for other payers. Excludes swing bed, distinct part unit (DPU) discharges. Excludes newborns unless newborn is discharged at a later date than the mother."
Total Acute Discharges,"Number of inpatient discharges for all operations comprehended under the general acute care hospital license for all payers. Excludes swing bed, distinct part unit (DPU) discharges. Excludes newborns unless newborn is discharged at a later date than the mother."
Medicare Swing Discharges,Discharges from certified swing bed care. Medicare payers.
Medicaid Swing Discharges,Discharges from certified swing bed care. Medicaid payers.
Self-Pay Swing Discharges,Discharges from certified swing bed care. Self-pay payers.
Option One Swing Discharges,place holder for other payer categories to be used at state's discretion.
Option Two Swing Discharges,place holder for other payer categories to be used at state's discretion.
Option Three Swing Discharges,place holder for other payer categories to be used at state's discretion.
Others Swing Discharges,Discharges from certified swing bed care. Other payers.
Total Swing Discharges,Discharges from certified swing bed care. All payers.
Medicare Subacute Discharges,"Discharges for all patient care under separate nursing care facility licensure, including subacute, transitional, stepdown, skilled nursing and long-term custodial care. Medicare Payers."
Medicaid Subacute Discharges,"Discharges for all patient care under separate nursing care facility licensure, including subacute, transitional, stepdown, skilled nursing and long-term custodial care. Medicaid Payers."
Self-Pay Subacute Discharges,"Discharges for all patient care under separate nursing care facility licensure, including subacute, transitional, stepdown, skilled nursing and long-term custodial care. Self-pay Payers."
Option One Subacute Discharges,place holder for other payer categories to be used at state's discretion.
Option Two Subacute Discharges,place holder for other payer categories to be used at state's discretion.
Option Three Subacute Discharges,place holder for other payer categories to be used at state's discretion.
Others Subacute Discharges,"Discharges for all patient care under separate nursing care facility licensure, including subacute, transitional, stepdown, skilled nursing and long-term custodial care. Other Payers."
Total Subacute Discharges,"Discharges for all patient care under separate nursing care facility licensure, including subacute, transitional, stepdown, skilled nursing and long-term custodial care. All Payers."
Medicare DPU Discharges,"Discharges from certified distinct part unit care. Includes rehabilitation, psychiatric care, chemical dependency care. Medicare payers."
Medicaid DPU Discharges,"Discharges from certified distinct part unit care. Includes rehabilitation, psychiatric care, chemical dependency care. Medicaid payers."
Self-Pay DPU Discharges,"Discharges from certified distinct part unit care. Includes rehabilitation, psychiatric care, chemical dependency care. Self-pay payers."
Option One DPU Discharges,place holder for other payer categories to be used at state's discretion.
Option Two DPU Discharges,place holder for other payer categories to be used at state's discretion.
Option Three DPU Discharges,place holder for other payer categories to be used at state's discretion.
Others DPU Discharges,"Discharges from certified distinct part unit care. Includes rehabilitation, psychiatric care, chemical dependency care. Other payers."
Total DPU Discharges,"Discharges from certified distinct part unit care. Includes rehabilitation, psychiatric care, chemical dependency care. All payers."
Medicare Total Discharges,Sum of discharges for all levels of care. Medicare payers.
Medicaid Total Discharges,Sum of discharges for all levels of care. Medicaid payers.
Self-Pay Total Discharges,Sum of discharges for all levels of care. Self-pay payers.
Option One Total Discharges,place holder for other payer categories to be used at state's discretion.
Option Two Total Discharges,place holder for other payer categories to be used at state's discretion.
Option Three Total Discharges,place holder for other payer categories to be used at state's discretion.
Others Total Discharges,Sum of discharges for all levels of care. Other payers.
Grand Total Discharges,Sum of discharges for all levels of care. All payers.
Medicare Acute Pat Days,Sum of days spent in acute care. Medicare payers.
Medicaid Acute Pat Days,Sum of days spent in acute care. Medicaid payers.
Self-Pay Acute Pat Days,Sum of days spent in acute care. Self-pay payers.
Option One Acute Pat Days,place holder for other payer categories to be used at state's discretion.
Option Two Acute Pat Days,place holder for other payer categories to be used at state's discretion.
Option Three Acute Pat Days,place holder for other payer categories to be used at state's discretion.
Others Acute Pat Days,Sum of days spent in acute care. Other payers.
Total Acute Pat Days,Sum of days spent in acute care. All payers.
Medicare Swing Pat Days,Sum of days spent in swing bed care. Medicare payers.
Medicaid Swing Pat Days,Sum of days spent in swing bed care. Medicaid payers.
